Inq_ID;Idade;Escolaridade;Excitement1;Excitement2;Excitement3;Excitement4;Image1;Image2;Image3;Image4;Image5;Price1;Price2;Price3;Loyalty1;Loyalty2;Loyalty3;Loyalty4;Word1;Word2;Word3;Word4;Tolerance1;Tolerance2;Tolerance3;Tolerance4;Tolerance5;Inovação1;Inovação2;Inovação3;Inovação4;Inovação5;Inovação6
3;25;2;8;6;5;5;8;6;8;8;8;1;10;10;3;6;8;7;3;5;7;7;7;6;8;9;4;4;3;2;4;4;5
1;32;5;10;10;10;10;10;8;10;10;10;10;1;1;7;10;2;5;10;10;10;10;9;10;8;9;9;8;9;6;6;6;5
3;37;2;8;8;5;7;8;7;9;9;9;9;2;1;7;6;6;8;7;5;5;5;7;7;8;7;8;6;4;6;6;8;6
1;37;5;7;7;5;5;10;4;10;10;10;10;1;1;1;6;2;3;8;5;5;7;10;10;10;3;10;7;5;4;7;6;5
1;21;3;7;7;4;7;8;3;9;8;8;9;2;2;5;9;2;3;5;2;3;7;4;5;6;2;2;8;7;5;8;8;5
2;28;3;5;7;2;2;8;9;8;10;9;10;1;1;1;6;1;3;8;8;8;10;8;3;10;9;10;3;5;5;7;7;7
3;32;3;8;8;6;6;10;9;10;10;9;7;4;6;8;9;5;4;9;8;8;8;7;7;9;6;9;8;8;8;9;9;7
3;34;2;4;5;3;4;8;10;8;9;10;8;4;5;6;5;3;5;7;7;6;5;4;4;5;3;4;6;6;5;5;6;5
2;33;5;8;6;7;5;9;8;7;8;7;7;3;3;7;8;4;7;8;7;9;3;3;2;8;5;7;9;8;9;8;9;9
2;32;5;8;8;6;6;8;6;7;7;5;9;2;2;6;8;6;5;6;6;6;5;5;9;3;2;3;7;7;5;7;7;5
3;34;3;5;4;4;4;8;9;9;9;8;1;10;10;7;9;6;9;7;5;5;3;7;8;7;8;7;6;7;7;6;6;6
3;31;5;8;8;6;6;9;7;8;8;8;7;8;5;8;5;4;6;6;4;6;6;7;7;8;8;6;8;7;7;6;7;7
1;32;5;9;9;9;9;10;9;9;10;9;10;1;1;7;10;1;7;10;7;9;8;9;6;9;4;7;10;10;7;10;10;10
1;29;4;8;8;5;8;10;8;10;10;8;8;1;1;7;6;6;3;10;8;8;10;8;10;8;6;8;8;8;8;10;8;7
3;23;3;8;8;7;7;9;8;9;8;9;4;8;8;7;5;4;3;8;6;7;6;8;5;7;9;7;7;7;7;7;8;8
1;25;4;10;10;10;10;10;9;10;10;10;10;1;1;5;10;1;6;1;1;1;3;5;6;5;6;7;5;9;5;10;10;5
3;22;5;8;8;7;7;10;9;10;10;10;1;10;10;9;10;8;9;8;8;8;8;10;10;9;4;10;10;10;10;10;10;10
2;21;3;3;3;3;3;10;10;10;9;9;9;2;5;5;6;5;5;6;2;2;2;8;6;6;7;6;5;6;5;6;5;7
1;64;1;5;3;2;1;9;8;9;8;8;3;6;9;6;4;6;7;5;4;7;7;8;3;5;8;6;8;9;8;7;4;7
3;21;3;5;5;5;5;8;6;8;7;9;4;5;4;4;1;6;5;5;5;5;5;9;4;5;8;5;5;5;4;4;5;5
3;37;3;3;7;3;5;10;9;9;9;9;7;5;2;6;4;3;5;8;5;5;3;7;7;9;8;7;5;5;5;5;5;5
1;47;3;9;9;9;9;9;8;6;9;9;9;1;1;9;10;8;9;9;9;9;8;7;2;10;1;7;6;9;9;9;9;8
2;34;3;8;9;6;5;9;8;8;8;10;9;5;2;7;8;8;7;3;4;5;6;6;7;7;7;7;8;8;7;9;9;9
1;22;3;8;10;3;3;8;8;10;9;9;10;2;4;7;3;2;5;9;7;7;9;9;5;6;5;10;6;6;6;7;7;7
1;31;3;7;7;8;7;7;6;8;8;9;4;7;7;7;8;4;4;7;6;6;5;7;7;7;5;6;8;8;7;7;8;7
2;22;3;6;7;6;6;6;7;7;7;8;7;3;3;6;4;3;2;7;6;5;7;6;3;8;4;5;8;8;9;8;9;8
